year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,2021,Summer,Academic English,AC ENG,20C,20010,A,ACADEMIC WRITING,LEC,"KHALIL, S.",0,0,0,0,0,22,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20015,B,ACADEMIC WRITING,LEC,"SPENCER, P.",0,0,0,0,0,22,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20020,C,ACADEMIC WRITING,LEC,"OH, H.",0,0,0,0,0,19,2,0,
2021-22,2021,Summer,Academic English,AC ENG,20C,20025,D,ACADEMIC WRITING,LEC,"LEVIN, K.",0,0,0,0,0,21,4,0,
2021-22,2021,Summer,Academic English,AC ENG,22A,20060,A,READING&VOCABULARY,LEC,"LIN, J.",16,1,1,0,1,8,1,0,3.58
2021-22,2021,Summer,Academic English,AC ENG,22A,20075,D,READING&VOCABULARY,LEC,"KARKAFI, L.",16,1,0,0,4,6,0,0,3.13
2021-22,2021,Summer,Academic English,AC ENG,22B,20090,A,ESL-READING & VOCAB,LEC,"MURANOVA, O.",0,0,0,0,0,23,3,0,
2021-22,2021,Summer,Academic English,AC ENG,139W,20120,A,ADV ACADMIC WRITING,SEM,"KIM, J.",18,1,0,0,2,1,1,0,3.57
2021-22,2021,Summer,African American Studies,AFAM,40A,20210,A,AFRICAN AMERICAN I,LEC,"CARTER, L.",28,4,2,0,2,4,0,0,3.56
2021-22,2021,Summer,African American Studies,AFAM,40B,20220,A,AFRICAN AMERICAN II,LEC,"MCDOUGALL, T.",14,3,1,0,0,2,0,0,3.67
2021-22,2021,Summer,Anthropology,ANTHRO,2A,60010,A,INTR SOCIOCULT ANTH,LEC,"COX, K.",69,8,2,2,4,3,1,0,3.58
2021-22,2021,Summer,Anthropology,ANTHRO,2A,60020,B,INTR SOCIOCULT ANTH,LEC,"PALMER, J.",42,17,7,2,6,3,1,0,3.16
2021-22,2021,Summer,Anthropology,ANTHRO,2B,60030,A,INTRO TO BIO ANTHRO,LEC,"EGAN, J.",6,7,2,1,3,1,1,0,2.62
2021-22,2021,Summer,Anthropology,ANTHRO,2D,60040,A,LANGUAGE & CULTURE,LEC,"MIDDLETON, C.",4,5,1,0,3,0,0,0,2.47
2021-22,2021,Summer,Anthropology,ANTHRO,10A,60050,A,PROBABILITY & STATS,LEC,"HUFFMAN, M.",9,3,6,0,1,2,0,0,2.94
2021-22,2021,Summer,Anthropology,ANTHRO,25A,60070,A,ENVIRON INJUSTICE,LEC,"FORTUN, K.",34,1,2,0,0,3,1,0,3.87
2021-22,2021,Summer,Anthropology,ANTHRO,30A,60080,A,GLOB ISS ANTH PERSP,LEC,"KOHLER, G.",19,1,1,0,2,1,0,0,3.51
2021-22,2021,Summer,Anthropology,ANTHRO,41A,60090,A,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",38,2,0,0,1,2,0,0,3.83
2021-22,2021,Summer,Anthropology,ANTHRO,41A,60100,B,GLOBAL CULTURES&SOC,LEC,"DARIAN-SMITH, E.",17,0,0,1,0,0,1,0,3.83
2021-22,2021,Summer,Anthropology,ANTHRO,121AW,60110,A,KINSHP & SOCIAL ORG,LEC,"O'ROURKE, S.",22,4,0,0,0,1,1,0,3.79
2021-22,2021,Summer,Anthropology,ANTHRO,128B,60140,A,RACE GENDER&SCIENCE,LEC,"WILKINSON, A.",15,6,2,1,1,0,0,0,3.3
2021-22,2021,Summer,Anthropology,ANTHRO,134A,60150,A,MEDICAL ANTHRO,LEC,"HAMDY, S.",27,22,5,0,0,3,0,0,3.35
2021-22,2021,Summer,Anthropology,ANTHRO,136K,60160,A,WOMAN & THE BODY,LEC,"WENGER, S.",17,4,1,0,0,0,0,0,3.71
2021-22,2021,Summer,Anthropology,ANTHRO,162A,60170,A,LAT AM:PEOPLE&CULTR,LEC,"RICHART, R.",6,4,0,0,0,0,1,0,3.51
2021-22,2021,Summer,Art,ART,9C,1010,A,THEMATIC INVESTIGTN,LEC,"LEWIS, J.",66,13,3,0,0,27,1,0,3.72
2021-22,2021,Summer,Art,ART,12A,1015,A,ELECTRONIC CULTURE,LEC,"DONAHEY, K.",37,3,1,0,0,3,0,0,3.88
2021-22,2021,Summer,Art,ART,20A,1020,A,BASIC DRAWING I,STU,"KARNIG, M.",16,0,0,0,1,2,0,0,3.77
2021-22,2021,Summer,Art,ART,20A,1025,B,BASIC DRAWING I,STU,"KARNIG, M.",9,1,0,0,0,2,0,0,3.87
2021-22,2021,Summer,Art,ART,30A,1030,A,BASIC PAINTING I,STU,"WELTON, A.",13,2,0,0,1,2,0,0,3.64
2021-22,2021,Summer,Art,ART,50B,1040,A,INTERACT & EXPERNCE,LAB,"JACKSON, J.",14,4,0,0,1,2,0,0,3.56
2021-22,2021,Summer,Art,ART,65A,1045,A,FDNS MEDIA DESIGN,LEC,"JAVID, M.",35,4,0,0,0,2,2,0,3.88
2021-22,2021,Summer,Art,ART,71A,1050,A,INTRO TO PHOTO I,STU,CUPPET-MICHELSEN.,10,0,0,0,0,4,0,0,4.0
2021-22,2021,Summer,Art,ART,81A,1055,A,DIGIFILM PROD I,STU,"JACKSON, J.",13,1,0,0,0,1,1,0,3.95
2021-22,2021,Summer,Art,ART,95,1060,A,MOTION GRAPHICS,STU,"JAVID, M.",23,5,2,0,1,1,1,0,3.55
2021-22,2021,Summer,Art,ART,100,1100,A,PHOTOSHOP,STU,"VEGA, J.",22,0,0,0,1,1,1,0,3.8
2021-22,2021,Summer,Art,ART,100,1105,B,DIGITAL PHOTOGRAPHY,STU,"VEGA, J.",19,0,0,0,0,2,1,0,4.0
2021-22,2021,Summer,Art,ART,100,1110,C,PHOTOSHOP,STU,"VEGA, J.",24,2,0,0,0,1,0,0,3.91
2021-22,2021,Summer,Art,ART,100,1115,D,DIGITAL PHOTOGRAPHY,STU,"VEGA, J.",18,1,0,1,2,0,0,0,3.44
2021-22,2021,Summer,Art,ART,101W,1120,A,ARTISTS AS WRITERS,STU,"PHILLIPS, C.",24,0,0,0,0,1,0,0,4.0
2021-22,2021,Summer,Art,ART,128,1125,A,ISSUES IN NEW GENRE,SEM,"PARSONS, D.",16,0,0,0,0,0,0,0,4.0
2021-22,2021,Summer,Art History,ART HIS,40C,21020,A,MODERN ART EUR&AMER,LEC,"FUGFUGOSH-MUNOZ, S.",25,1,0,0,0,2,0,0,3.87
2021-22,2021,Summer,Art History,ART HIS,55,21030,A,DISNEYLAND,LEC,"BETANCOURT, R.",83,5,0,0,1,8,0,0,3.82
2021-22,2021,Summer,Asian American Studies,ASIANAM,51,21510,A,THE U.S. & ASIA,LEC,"HAYS, T.",28,1,0,0,0,2,0,0,3.93
2021-22,2021,Summer,Asian American Studies,ASIANAM,52,21520,A,ASAM COMMUNITIES,LEC,"LI, Q.",14,2,0,0,0,0,0,0,3.86
2021-22,2021,Summer,Asian American Studies,ASIANAM,54,21530,A,ASAM STORIES,LEC,"LEE, J.",47,2,0,0,0,2,0,0,3.95
2021-22,2021,Summer,Asian American Studies,ASIANAM,55,21540,A,ASAM & THE MEDIA,LEC,"CHO, J.",47,1,0,0,0,2,0,0,3.95
2021-22,2021,Summer,Asian American Studies,ASIANAM,114,21550,A,ASIANAM FILM&VIDEO,LEC,"SHROFF, B.",10,0,0,0,0,0,0,0,3.97
2021-22,2021,Summer,Asian American Studies,ASIANAM,132,21560,A,COMP MINORITY POLIT,LEC,"CHAN, N.",5,1,1,1,2,0,0,0,2.51
2021-22,2021,Summer,Biological Sciences,BIO SCI,9A,5010,A,NUTRITION SCIENCE,LEC,"DAVIES, S.",16,11,1,0,0,5,3,0,3.54
2021-22,2021,Summer,Biological Sciences,BIO SCI,9B,5020,A,BIO&CHEM OF COOKING,LEC,"TAAGEPERA, S.",38,4,2,1,0,3,0,0,3.7
2021-22,0,Summer,0,0,0,5030,A,EVO PSYCHOLOGY,LEC,"HUGHES, B.",17,3,0,0,0,1,0,0,3.82
2021-22,0,Summer,0,0,0,5040,A,BRAIN AND BEHAVIOR,LEC,"LALLAI, V.",25,4,3,0,0,0,0,0,3.69
2021-22,0,Summer,0,0,0,5050,A,DRUGS AND THE BRAIN,LEC,"NICHOLAS, A.",27,11,5,0,1,6,2,0,3.45
2021-22,0,Summer,0,0,0,5060,A,BRAIN DYSFUNCTION,LEC,"MILINKEVICIUTE, G.",15,2,0,0,0,0,0,0,3.79
2021-22,0,Summer,0,0,0,5070,A,"MIND,MEMORY & BRAIN",LEC,"GUZOWSKI, J.",9,5,5,1,0,2,0,0,3.04
2021-22,0,Summer,0,0,0,5080,A,STRESS,LEC,"NICHOLAS, A.",34,7,3,0,0,4,0,0,3.71
2021-22,0,Summer,0,0,0,5090,A,DNA TO ORGANISMS,LEC,"LEE, J.",101,26,2,2,0,3,2,0,3.7
2021-22,0,Summer,0,0,0,5100,A,ORGANISMS TO ECOSYS,LEC,"MORALES CRUZ, A.",74,7,0,0,0,0,0,0,3.92
2021-22,0,Summer,0,0,0,5110,A,GENETICS,LEC,"BARDWELL, L.",131,4,0,0,1,0,0,0,3.91
2021-22,0,Summer,0,0,0,5120,B,GENETICS,LEC,"BARDWELL, L.",137,5,2,0,0,1,0,0,3.9
2021-22,0,Summer,0,0,0,5130,A,BIOCHEMISTRY,LEC,"SEWARD VARELA, J.",88,29,19,0,0,2,0,0,3.48
2021-22,0,Summer,0,0,0,5140,B,BIOCHEMISTRY,LEC,"SEWARD VARELA, J.",116,49,20,1,5,1,0,0,3.37
2021-22,0,Summer,0,0,0,5150,A,MOLECULAR BIOLOGY,LEC,"SEWARD VARELA, J.",167,76,7,1,1,0,0,0,3.59
2021-22,0,Summer,0,0,0,5160,B,MOLECULAR BIOLOGY,LEC,"WILLIAMS, A.",12,16,10,0,2,2,0,0,2.95
2021-22,0,Summer,0,0,0,5170,C,MOLECULAR BIOLOGY,LEC,"MAHAVONGTRAKUL, M.",67,10,11,0,1,0,1,0,3.54
2021-22,0,Summer,0,0,0,5180,A,SCIENTIFIC WRITING,LEC,"CAMERINI, D.",190,35,4,1,0,4,0,0,3.79
2021-22,0,Summer,0,0,0,5190,A,CELL BIOLOGY,LEC,"WANG, W.",50,48,16,2,0,0,0,0,3.27
2021-22,0,Summer,0,0,0,5200,A,DEVELOPMNTL BIOLOGY,LEC,"CHO, K.",22,12,13,1,0,1,0,0,3.12
2021-22,0,Summer,0,0,0,5241,A1,DEV & CELL BIO LAB,LAB,"NGUYEN, T.",15,2,1,0,2,0,0,0,3.39
2021-22,0,Summer,0,0,0,5242,A2,DEV & CELL BIO LAB,LAB,"NGUYEN, T.",18,0,1,0,1,0,0,0,3.66
2021-22,0,Summer,0,0,0,5380,A,BIO INTEGRATIVE MED,LEC,"LIN, S.",30,2,1,0,0,0,0,0,3.83
2021-22,0,Summer,0,0,0,5410,A,HUMAN ANATOMY,LEC,"MIRBOLOOKI, M.",33,8,5,4,0,0,0,0,3.36
2021-22,0,Summer,0,0,0,5210,A,ECOLOGY & EVOLUTION,LEC,"MUELLER, L.",13,6,10,0,0,0,0,0,3.05
2021-22,0,Summer,0,0,0,5220,A,HUMAN PHYSIOLOGY,LEC,"MCHENRY, M.",26,37,14,3,1,2,2,0,3.06
2021-22,0,Summer,0,0,0,5251,A1,PHYSIOLOGY LAB,LAB,"AGUILAR-ROCA, N.",20,0,0,0,0,0,0,0,3.9
2021-22,0,Summer,0,0,0,5252,A2,PHYSIOLOGY LAB,LAB,"AGUILAR-ROCA, N.",13,5,0,0,0,0,0,0,3.69
2021-22,0,Summer,0,0,0,5390,A,IMAGE ANALYSIS,LAB,"LOUDON, C.",28,1,0,0,0,0,0,0,3.96
2021-22,0,Summer,0,0,0,5400,B,IMAGE ANALYSIS,LAB,"LOUDON, C.",28,1,1,0,0,0,1,0,3.86
2021-22,0,Summer,0,0,0,5420,A,HUMAN NUTRITION,LEC,"GERMAN, D.",52,19,1,0,0,0,0,0,3.72
2021-22,0,Summer,0,0,0,5440,A,FIELD BIOLOGY,LAB,"MOONEY, K.",17,9,0,3,1,0,0,0,3.26
2021-22,0,Summer,0,0,0,5450,A,LIMNOLOGY&FRESHWATR,LEC,"BOWLER, P.",12,17,3,0,2,0,0,0,3.03
2021-22,0,Summer,0,0,0,5460,A,FIELD FRESHWTR ECOL,LAB,"BOWLER, P.",46,6,3,0,1,1,0,0,3.7
2021-22,0,Summer,0,0,0,5260,A,MOLECULAR BIO LAB,LAB,"ALBAY, R.",7,9,0,0,0,0,0,0,3.46
2021-22,0,Summer,0,0,0,5270,B,MOLECULAR BIO LAB,LAB,"ALBAY, R.",8,4,3,0,0,0,0,0,3.27
2021-22,0,Summer,0,0,0,5280,C,MOLECULAR BIO LAB,LAB,"OVERSTREET, C.",5,2,2,1,2,0,0,0,2.56
2021-22,0,Summer,0,0,0,5290,D,MOLECULAR BIO LAB,LAB,"OVERSTREET, C.",0,1,5,0,4,0,2,0,1.33
2021-22,0,Summer,0,0,0,5300,A,EXP MICROBIO LAB,LAB,"MORRISSETTE, N.",11,6,0,0,0,0,0,0,3.63
2021-22,0,Summer,0,0,0,5310,B,EXP MICROBIO LAB,LAB,"MORRISSETTE, N.",13,8,0,0,0,0,0,0,3.56
2021-22,0,Summer,0,0,0,5320,C,EXP MICROBIO LAB,LAB,"OVERSTREET, C.",3,4,5,1,5,0,1,0,2.03
2021-22,0,Summer,0,0,0,5330,D,EXP MICROBIO LAB,LAB,"OVERSTREET, C.",5,5,1,2,2,0,0,0,2.58
2021-22,0,Summer,0,0,0,5340,E,EXP MICROBIO LAB,LAB,"BRU, J.",14,4,1,0,0,0,0,0,3.59
2021-22,0,Summer,0,0,0,5350,F,EXP MICROBIO LAB,LAB,"BRU, J.",20,0,0,0,0,0,0,0,3.97
2021-22,0,Summer,0,0,0,5352,G,EXP MICROBIO LAB,LAB,"JHA, N.",20,1,1,0,0,0,0,0,3.78
2021-22,0,Summer,0,0,0,5354,H,EXP MICROBIO LAB,LAB,"JHA, N.",16,3,0,0,1,0,0,0,3.5
2021-22,0,Summer,0,0,0,5360,A,GENERAL MICROBIOL,LEC,"BARRY, R.",71,17,3,0,0,0,0,0,3.75
2021-22,0,Summer,0,0,0,5370,B,GENERAL MICROBIOL,LEC,"BARRY, R.",49,12,4,3,0,0,1,0,3.52
2021-22,0,Summer,0,0,0,5230,A,NEUROBIO & BEHAVIOR,LEC,"LIOUDYNO, M.",26,34,26,0,0,0,1,0,3.0
2021-22,0,Summer,0,0,0,5430,A,BRAIN DISORDERS,LEC,"BREWER, A.",41,8,1,0,1,0,0,0,3.72
2021-22,0,Summer,0,0,0,13510,A,TREATING DIABETES,LEC,"BRODY, J.",127,4,1,1,0,3,2,0,3.94
2021-22,0,Summer,0,0,0,13530,A,CELL MOLECULAR ENGR,LEC,"MIRBOLOOKI, M.",4,2,2,1,1,1,0,0,2.58
2021-22,0,Summer,0,0,0,13540,A,EAD:DATA ANALYSIS,LEC,"HU, Q.",9,2,2,2,2,0,0,0,2.86
2021-22,0,Summer,0,0,0,13560,A,DESIGN BIOMATERIALS,LEC,VEERASUBRAMANIAN.,13,11,7,0,0,1,0,0,3.13
2021-22,0,Summer,0,0,0,40010,A,GENERAL CHEMISTRY,LEC,"SHAKA, A.",64,18,7,1,0,6,0,0,3.58
2021-22,0,Summer,0,0,0,40020,A,GENERAL CHEMISTRY,LEC,"HOLTON, A.",45,18,14,8,9,0,2,0,2.86
2021-22,0,Summer,0,0,0,40030,A,GENERAL CHEMISTRY,LEC,"HOLTON, A.",53,46,26,7,18,0,0,0,2.71
2021-22,0,Summer,0,0,0,40060,B,GENERAL CHEMISTRY,LEC,"ARASASINGHAM, R.",9,25,49,7,22,0,1,0,1.92
2021-22,0,Summer,0,0,0,40040,A1,GENRL CHEMISTRY LAB,LAB,"GERAGOTELIS, A.",2,8,4,1,3,1,0,0,2.29
2021-22,0,Summer,0,0,0,40041,A2,GENRL CHEMISTRY LAB,LAB,"GERAGOTELIS, A.",4,8,4,2,2,1,0,0,2.49
2021-22,0,Summer,0,0,0,40043,A4,GENRL CHEMISTRY LAB,LAB,"GERAGOTELIS, A.",4,4,6,0,5,0,1,0,2.07
2021-22,0,Summer,0,0,0,40046,A7,GENRL CHEMISTRY LAB,LAB,"GERAGOTELIS, A.",5,6,7,1,0,0,0,0,2.85
2021-22,0,Summer,0,0,0,40049,A10,GENRL CHEMISTRY LAB,LAB,"GERAGOTELIS, A.",5,9,4,1,2,0,1,0,2.58
2021-22,0,Summer,0,0,0,40070,B1,GENRL CHEMISTRY LAB,LAB,"EDWARDS, K.",3,11,3,0,5,0,1,0,2.31
2021-22,0,Summer,0,0,0,40071,B2,GENRL CHEMISTRY LAB,LAB,"EDWARDS, K.",2,14,3,0,2,0,0,0,2.7
2021-22,0,Summer,0,0,0,40073,B4,GENRL CHEMISTRY LAB,LAB,"EDWARDS, K.",6,10,2,0,1,0,1,0,2.97
2021-22,0,Summer,0,0,0,40080,A1,GEN CHEM LAB,LAB,"MANG, S.",14,5,1,1,0,0,0,0,3.51
2021-22,0,Summer,0,0,0,40081,A2,GEN CHEM LAB,LAB,"MANG, S.",17,5,1,0,1,0,0,0,3.49
2021-22,0,Summer,0,0,0,40085,A6,GEN CHEM LAB,LAB,"MANG, S.",15,6,0,0,0,0,0,0,3.61
2021-22,0,Summer,0,0,0,40086,A7,GEN CHEM LAB,LAB,"MANG, S.",15,6,1,0,0,0,0,0,3.6
2021-22,0,Summer,0,0,0,40100,B1,GEN CHEM LAB,LAB,"MANG, S.",10,6,1,0,0,0,0,0,3.58
2021-22,0,Summer,0,0,0,40101,B2,GEN CHEM LAB,LAB,"MANG, S.",16,2,1,1,0,0,0,0,3.61
2021-22,0,Summer,0,0,0,40102,B3,GEN CHEM LAB,LAB,"MANG, S.",14,8,0,0,0,0,0,0,3.56
2021-22,0,Summer,0,0,0,40103,B4,GEN CHEM LAB,LAB,"MANG, S.",13,2,1,1,0,1,0,0,3.52
2021-22,0,Summer,0,0,0,40106,B7,GEN CHEM LAB,LAB,"MANG, S.",10,5,2,0,0,0,0,0,3.49
2021-22,0,Summer,0,0,0,40107,B8,GEN CHEM LAB,LAB,"MANG, S.",11,7,1,0,0,0,0,0,3.51
2021-22,0,Summer,0,0,0,40120,A1,ACCEL GEN CHEM LAB,LAB,"EDWARDS, K.",5,14,1,0,0,0,0,0,3.14
2021-22,0,Summer,0,0,0,40122,A3,ACCEL GEN CHEM LAB,LAB,"EDWARDS, K.",3,14,2,0,1,1,0,0,2.92
2021-22,0,Summer,0,0,0,40130,A,SCI MATH COMPSKILLS,LEC,"FREITES, J.",9,12,7,0,1,0,0,0,2.85
2021-22,0,Summer,0,0,0,40140,A,ORGANIC CHEMISTRY,LEC,"LINK, R.",34,24,0,0,0,0,0,0,3.57
2021-22,0,Summer,0,0,0,40150,A,ORGANIC CHEMISTRY,LEC,"VILLORIA, J.",32,60,60,11,13,1,2,0,2.48
2021-22,0,Summer,0,0,0,40190,A,ORGANIC CHEMISTRY,LEC,"HOWITZ, W.",29,40,37,19,8,0,0,0,2.48
2021-22,0,Summer,0,0,0,40161,A1,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",10,3,4,0,0,0,1,0,3.39
2021-22,0,Summer,0,0,0,40162,A2,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",7,6,4,1,1,0,0,0,2.99
2021-22,0,Summer,0,0,0,40163,A3,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",15,3,1,0,0,0,0,0,3.77
2021-22,0,Summer,0,0,0,40164,A4,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",5,1,7,2,3,0,0,0,2.25
2021-22,0,Summer,0,0,0,40165,A5,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",6,5,5,0,3,0,0,0,2.63
2021-22,0,Summer,0,0,0,40166,A6,ORG CHEM LAB,LAB,"THAMMAVONGSY, Z.",8,1,2,2,3,0,0,0,2.56
2021-22,0,Summer,0,0,0,40181,B1,ORG CHEM LAB,LAB,"WANG, X.",9,6,1,0,0,0,1,0,3.5
2021-22,0,Summer,0,0,0,40182,B2,ORG CHEM LAB,LAB,"WANG, X.",8,2,3,1,2,0,1,0,2.83
2021-22,0,Summer,0,0,0,40183,B3,ORG CHEM LAB,LAB,"WANG, X.",5,6,4,1,0,0,0,0,3.03
2021-22,0,Summer,0,0,0,40184,B4,ORG CHEM LAB,LAB,"WANG, X.",5,7,3,1,1,0,0,0,2.88
2021-22,0,Summer,0,0,0,40185,B5,ORG CHEM LAB,LAB,"WANG, X.",3,11,1,0,2,0,0,0,2.84
2021-22,0,Summer,0,0,0,40201,A1,ORG CHEM LAB,LAB,"MILLS, R.",7,5,4,1,0,0,0,0,3.04
2021-22,0,Summer,0,0,0,40202,A2,ORG CHEM LAB,LAB,"MILLS, R.",7,3,3,0,1,0,0,0,3.05
2021-22,0,Summer,0,0,0,40203,A3,ORG CHEM LAB,LAB,"MILLS, R.",7,5,2,2,0,0,0,0,3.16
2021-22,0,Summer,0,0,0,40204,A4,ORG CHEM LAB,LAB,"MILLS, R.",10,3,3,2,0,0,0,0,3.18
2021-22,0,Summer,0,0,0,40205,A5,ORG CHEM LAB,LAB,"MILLS, R.",5,5,4,0,0,0,0,0,3.09
2021-22,0,Summer,0,0,0,40206,A6,ORG CHEM LAB,LAB,"MILLS, R.",2,8,6,1,1,0,0,0,2.55
2021-22,0,Summer,0,0,0,40207,A7,ORG CHEM LAB,LAB,"MILLS, R.",11,3,2,0,0,0,0,0,3.54
2021-22,0,Summer,0,0,0,40208,A8,ORG CHEM LAB,LAB,"MILLS, R.",10,2,2,1,1,0,0,0,3.17
2021-22,0,Summer,0,0,0,40211,A1,ORG CHEM LAB,LAB,"LINK, R.",15,1,0,0,0,0,0,0,3.96
2021-22,0,Summer,0,0,0,40212,A2,ORG CHEM LAB,LAB,"LINK, R.",14,1,2,0,0,0,0,0,3.72
2021-22,0,Summer,0,0,0,40213,A3,ORG CHEM LAB,LAB,"LINK, R.",13,3,1,0,0,0,0,0,3.76
2021-22,0,Summer,0,0,0,40214,A4,ORG CHEM LAB,LAB,"LINK, R.",17,1,0,0,0,0,0,0,3.96
2021-22,0,Summer,0,0,0,40215,A5,ORG CHEM LAB,LAB,"LINK, R.",15,2,2,0,0,0,0,0,3.72
2021-22,0,Summer,0,0,0,61030,A,LAT AM:PEOPLE&CULTR,LEC,"RICHART, R.",6,3,0,0,2,1,1,0,2.89
2021-22,0,Summer,0,0,0,61070,A,LATINO METROPOLIS,LEC,"TORRES, R.",12,0,0,0,0,0,0,0,4.0
2021-22,0,Summer,0,0,0,22050,A,CHNSE MDA CULT TDAY,COL,"LIN, S.",24,4,0,1,0,2,0,0,3.67
